Ovary_1	Ovary_2	Ovary_3	Testis_1	Testis_2	Testis_3
194	278	102	56	66	69
26936	29796	11750	15115	19035	16264
1865	2289	1073	1911	2584	1655
1505	1543	935	609	806	654
1282	1274	759	425	497	407
108	83	75	651	776	468
1251	1276	640	511	606	558
14	12	6	19	18	18
1021	718	367	499	842	409
365	898	410	233	243	64
5098	4156	3200	147	351	235
1827	2574	1234	685	1033	869
435	371	266	97	78	141
142	145	116	36	41	76
44	47	20	13	13	12
1852	2286	1286	506	474	424
6699	8595	4469	1997	1801	1867
777	385	182	155	38	70
366	223	140	480	574	462
69	25	36	11682	12153	9411
217	511	252	497	534	451
2	8	2	9	11	11
1017	1194	904	1134	694	609
2275	1628	1211	294	389	312
1584	1242	813	492	752	758
2230	1930	855	342	562	469
754	733	362	289	382	194
400	320	223	46	81	47
500	449	162	478	606	303
1	2	2	15	14	6
386	444	244	340	280	187
729	783	466	736	959	535
629	504	363	1751	2349	1306
31	39	21	96	93	141
9	11	21	20	17	14
2891	2889	1742	1397	2111	1629
26	19	26	31	39	25
387	387	196	1516	1608	933
0	0	0	6	3	2
1275	1980	1292	420	638	332
472	503	315	385	365	272
9023	10301	5022	21425	26188	23234
39	9	13	28	52	47
167	82	80	191	171	145
457	508	247	887	2637	2095
4555	4777	2642	5558	6332	5407
14	18	5	17	10	17
3	0	0	22	43	44
0	1	0	23	47	28
4	10	4	116	479	173
1419	1127	505	767	803	626
1141	1312	905	968	890	979
21	23	55	154	226	127
859	1376	604	474	666	397
2	0	1	4	43	8
2421	2116	1269	4599	6012	3946
12021	14405	8428	6123	7962	5610
662	869	335	36	43	42
1763	3797	858	1026	915	916
524	607	263	116	175	108
447	118	154	1447	1751	1400
0	2	0	0	0	1
4951	4593	2709	2025	1695	1381
77	91	47	189	211	150
579	633	292	1963	1835	1738
2012	1998	1125	13818	16327	13787
582	627	288	376	517	388
3195	2563	1731	412	130	103
0	0	0	0	2	0
1	13	1	3	1	1
1	0	0	0	1	0
0	0	0	0	1	0
3	0	1	0	1	1
0	0	0	0	1	1
1233	1416	594	5626	5500	4349
28	21	16	39	119	26
36	29	38	14	9	9
1227	1151	620	615	571	502
4	0	3	0	0	0
0	0	0	0	0	0
13	12	5	9	9	2
237	87	125	6	22	32
322	130	218	11	75	98
317	258	132	35	91	49
1586	1430	758	365	296	307
1260	1317	631	159	154	159
3085	3790	2167	72	121	88
641	479	299	57	43	47
1070	783	476	258	230	212
20	25	10	69	71	58
34	35	12	117	140	90
781	735	463	782	724	696
626	729	428	1298	1632	1394
860	682	425	1489	1519	1358
34	26	13	574	453	447
349	531	163	303	357	272
776	992	587	973	1170	922
2112	1770	1174	689	777	800
301	265	169	67	60	89
503	501	237	65	79	61
644	677	417	448	711	539
11	45	15	44	40	23
5954	5576	4391	70	150	129
0	0	0	4	7	9
1642	1264	1457	1470	2142	1662
34	80	81	19	17	21
3	9	3	209	79	132
652	726	415	920	1007	753
1798	1882	1022	5146	4671	4390
290	329	177	19	48	16
2464	1954	839	11768	12440	9423
10	1	12	26	14	20
0	2	1	1	2	0
3	3	1	48	67	28
1334	1172	670	1055	1235	1133
42	42	28	549	993	730
3790	3697	1804	1277	1068	1071
277	193	96	279	258	161
1689	1601	938	440	298	245
1620	1908	801	903	1258	874
275	163	62	310	392	215
0	0	0	0	0	0
39	34	30	4	4	4
3	21	6	1	2	3
3	1	2	27	163	37
0	7	1	9	7	21
13	6	0	7	2	3
0	0	0	5	2	0
6	5	2	5	4	0
0	0	0	5	9	17
116	46	92	159	196	143
716	933	554	863	624	552
61	77	46	32	20	29
1229	1436	896	69	100	70
3089	3309	1823	904	1200	820
670	326	203	161	258	126
1711	1899	1174	12	3	11
769	820	390	395	366	351
11	48	8	5	25	3
0	0	0	0	0	0
453	343	295	15	14	12
110	193	137	94	120	68
14	7	10	19553	23199	16635
1	2	5	4141	6189	3336
613	637	426	2781	5320	4055
327	324	193	233	369	228
0	0	0	2	1	7
7	59	28	5	5	5
4	4	9	4	2	7
0	0	0	5	6	6
0	4	1	3	3	0
1	0	1	5	1	0
587	748	533	68	59	38
2	2	1	9	9	5
0	3	1	28	19	24
25	19	21	308	247	286
146	558	243	109	145	111
0	0	1	3	0	2
430	343	405	252	243	222
789	949	422	266	345	278
221	296	176	172	253	168
360	805	270	1276	2115	1409
0	7	17	9	8	7
135	142	95	292	444	221
0	1	1	0	1	0
0	0	0	0	0	0
0	0	0	102	210	107
0	0	0	155	331	122
0	0	0	0	0	0
0	0	0	1	6	1
1392	1326	632	1568	2459	1659
1899	1755	1165	2772	2880	3067
124	169	67	252	200	147
38	7	15	34	79	22
1	0	0	3	0	0
4	2	0	9	6	5
345	222	82	9	25	10
2	7	4	23	11	7
